Counter,nums,frency
"Counter({1: 2, 3: 2, 0: 1})",34,0.017
"Counter({2: 4, 3: 1})",4,0.002
"Counter({1: 4, 0: 1})",39,0.0195
"Counter({2: 3, 1: 2})",29,0.0145
"Counter({1: 4, 2: 1})",54,0.027
"Counter({1: 3, 2: 1, 0: 1})",124,0.062
"Counter({1: 3, 0: 1, 4: 1})",16,0.008
"Counter({1: 2, 0: 1, 3: 1, 2: 1})",121,0.0605
"Counter({0: 3, 2: 2})",18,0.009
"Counter({0: 3, 1: 2})",31,0.0155
"Counter({1: 2, 2: 2, 0: 1})",132,0.066
"Counter({2: 3, 1: 1, 3: 1})",17,0.0085
"Counter({1: 2, 0: 2, 2: 1})",123,0.0615
"Counter({1: 3, 2: 2})",63,0.0315
"Counter({2: 3, 1: 1, 0: 1})",46,0.023
"Counter({2: 2, 0: 2, 1: 1})",92,0.046
"Counter({0: 3, 2: 1, 1: 1})",49,0.0245
"Counter({3: 2, 2: 1, 0: 1, 1: 1})",26,0.013
"Counter({2: 2, 3: 1, 0: 1, 4: 1})",10,0.005
"Counter({2: 2, 0: 1, 3: 1, 1: 1})",72,0.036
"Counter({0: 3, 2: 1, 5: 1})",2,0.001
"Counter({2: 3, 1: 1, 4: 1})",7,0.0035
"Counter({2: 3, 0: 1, 3: 1})",17,0.0085
"Counter({1: 3, 0: 1, 3: 1})",53,0.0265
"Counter({0: 2, 3: 1, 2: 1, 1: 1})",67,0.0335
"Counter({1: 3, 2: 1, 4: 1})",17,0.0085
"Counter({0: 2, 2: 1, 4: 1, 3: 1})",8,0.004
"Counter({1: 2, 0: 1, 4: 1, 2: 1})",37,0.0185
"Counter({1: 3, 0: 2})",44,0.022
"Counter({2: 4, 0: 1})",15,0.0075
"Counter({0: 2, 2: 1, 1: 1, 4: 1})",16,0.008
"Counter({1: 1, 2: 1, 0: 1, 3: 1, 4: 1})",15,0.0075
"Counter({1: 4, 3: 1})",21,0.0105
"Counter({2: 2, 1: 1, 4: 1, 0: 1})",24,0.012
"Counter({1: 3, 3: 1, 2: 1})",63,0.0315
"Counter({1: 2, 3: 1, 4: 1, 0: 1})",12,0.006
"Counter({2: 2, 3: 2, 1: 1})",6,0.003
"Counter({0: 4, 1: 1})",14,0.007
"Counter({1: 2, 2: 2, 3: 1})",54,0.027
"Counter({0: 4, 2: 1})",7,0.0035
"Counter({0: 3, 3: 1, 2: 1})",17,0.0085
"Counter({0: 3, 1: 1, 3: 1})",25,0.0125
"Counter({1: 2, 2: 2, 4: 1})",15,0.0075
"Counter({2: 3, 0: 2})",18,0.009
"Counter({0: 2, 3: 2, 2: 1})",5,0.0025
"Counter({2: 2, 5: 1, 0: 1, 1: 1})",8,0.004
"Counter({0: 4, 3: 1})",3,0.0015
"Counter({3: 2, 0: 2, 1: 1})",16,0.008
"Counter({2: 4, 1: 1})",17,0.0085
"Counter({1: 2, 0: 2, 3: 1})",43,0.0215
"Counter({1: 4, 4: 1})",6,0.003
"Counter({2: 4, 4: 1})",2,0.001
"Counter({1: 3, 3: 1, 4: 1})",8,0.004
"Counter({1: 2, 0: 2, 4: 1})",19,0.0095
"Counter({2: 2, 0: 2, 3: 1})",24,0.012
"Counter({0: 2, 5: 1, 1: 1, 2: 1})",4,0.002
"Counter({1: 2, 4: 1, 3: 1, 2: 1})",9,0.0045
"Counter({3: 3, 4: 1, 1: 1})",2,0.001
"Counter({1: 2, 3: 2, 2: 1})",17,0.0085
"Counter({2: 2, 1: 2, 5: 1})",3,0.0015
"Counter({4: 2, 1: 2, 0: 1})",3,0.0015
"Counter({5: 2, 1: 2, 3: 1})",1,0.0005
"Counter({0: 2, 1: 1, 5: 1, 3: 1})",3,0.0015
"Counter({4: 2, 3: 1, 2: 1, 0: 1})",2,0.001
"Counter({0: 3, 4: 1, 2: 1})",6,0.003
"Counter({1: 2, 0: 1, 3: 1, 5: 1})",3,0.0015
"Counter({0: 2, 4: 1, 3: 1, 1: 1})",8,0.004
"Counter({0: 3, 4: 1, 3: 1})",1,0.0005
Counter({1: 5}),12,0.006
"Counter({1: 3, 2: 1, 5: 1})",2,0.001
"Counter({1: 3, 0: 1, 5: 1})",3,0.0015
"Counter({3: 3, 2: 2})",1,0.0005
"Counter({1: 2, 2: 1, 5: 1, 3: 1})",3,0.0015
"Counter({1: 2, 2: 1, 0: 1, 5: 1})",3,0.0015
"Counter({2: 2, 0: 1, 3: 1, 5: 1})",4,0.002
"Counter({0: 3, 3: 2})",6,0.003
"Counter({3: 3, 0: 1, 2: 1})",2,0.001
"Counter({2: 3, 3: 1, 4: 1})",1,0.0005
"Counter({0: 2, 2: 2, 4: 1})",7,0.0035
"Counter({3: 2, 2: 2, 0: 1})",5,0.0025
"Counter({4: 2, 0: 2, 2: 1})",3,0.0015
"Counter({0: 4, 4: 1})",1,0.0005
"Counter({3: 3, 4: 1, 2: 1})",1,0.0005
"Counter({3: 3, 1: 1, 2: 1})",4,0.002
"Counter({3: 1, 5: 1, 0: 1, 1: 1, 2: 1})",3,0.0015
"Counter({0: 3, 4: 1, 1: 1})",5,0.0025
"Counter({1: 2, 6: 1, 3: 1, 0: 1})",1,0.0005
"Counter({0: 4, 6: 1})",1,0.0005
"Counter({2: 2, 4: 1, 1: 1, 3: 1})",3,0.0015
"Counter({0: 2, 1: 2, 5: 1})",2,0.001
"Counter({0: 3, 5: 1, 1: 1})",4,0.002
"Counter({0: 2, 3: 2, 4: 1})",3,0.0015
