Counter,nums,frency
"Counter({0: 2, 3: 1, 1: 1, 2: 1})",44,0.022
"Counter({1: 2, 2: 2, 0: 1})",73,0.0365
"Counter({0: 4, 1: 1})",160,0.08
"Counter({1: 4, 2: 1})",33,0.0165
"Counter({0: 3, 1: 2})",282,0.141
"Counter({1: 3, 0: 2})",230,0.115
"Counter({0: 2, 2: 2, 1: 1})",81,0.0405
"Counter({0: 2, 1: 2, 2: 1})",272,0.136
"Counter({1: 4, 0: 1})",104,0.052
"Counter({1: 3, 2: 1, 0: 1})",134,0.067
"Counter({0: 3, 2: 1, 1: 1})",200,0.1
"Counter({2: 3, 0: 2})",5,0.0025
"Counter({1: 2, 3: 1, 2: 1, 0: 1})",23,0.0115
"Counter({1: 3, 0: 1, 3: 1})",28,0.014
Counter({0: 5}),15,0.0075
"Counter({0: 4, 2: 1})",60,0.03
"Counter({0: 3, 2: 2})",38,0.019
"Counter({1: 2, 0: 2, 3: 1})",51,0.0255
"Counter({1: 4, 3: 1})",5,0.0025
"Counter({0: 3, 3: 1, 1: 1})",31,0.0155
"Counter({1: 3, 2: 2})",14,0.007
"Counter({0: 4, 3: 1})",15,0.0075
"Counter({2: 2, 0: 1, 1: 1, 3: 1})",7,0.0035
"Counter({0: 3, 3: 1, 2: 1})",15,0.0075
Counter({1: 5}),21,0.0105
"Counter({3: 2, 1: 2, 2: 1})",2,0.001
"Counter({2: 3, 0: 1, 1: 1})",12,0.006
"Counter({1: 3, 3: 1, 2: 1})",5,0.0025
"Counter({0: 3, 4: 1, 1: 1})",4,0.002
"Counter({1: 3, 4: 1, 0: 1})",1,0.0005
"Counter({2: 3, 3: 1, 0: 1})",1,0.0005
"Counter({1: 2, 0: 1, 2: 1, 4: 1})",3,0.0015
"Counter({0: 3, 3: 2})",2,0.001
"Counter({0: 2, 1: 2, 4: 1})",4,0.002
"Counter({2: 2, 0: 2, 3: 1})",4,0.002
"Counter({2: 3, 1: 2})",4,0.002
Counter({2: 5}),1,0.0005
"Counter({1: 2, 3: 2, 0: 1})",1,0.0005
"Counter({3: 2, 0: 2, 1: 1})",3,0.0015
"Counter({2: 4, 1: 1})",2,0.001
"Counter({0: 2, 4: 1, 3: 1, 1: 1})",1,0.0005
"Counter({0: 4, 4: 1})",1,0.0005
"Counter({0: 2, 1: 1, 2: 1, 4: 1})",2,0.001
"Counter({1: 3, 3: 1, 4: 1})",1,0.0005
"Counter({1: 2, 2: 2, 4: 1})",1,0.0005
"Counter({0: 3, 2: 1, 4: 1})",1,0.0005
"Counter({3: 2, 2: 2, 0: 1})",1,0.0005
"Counter({1: 4, 4: 1})",1,0.0005
"Counter({2: 4, 0: 1})",1,0.0005
