Counter,nums,frency
"Counter({0: 4, 1: 1})",757,0.3785
"Counter({0: 3, 1: 2})",471,0.2355
Counter({0: 5}),379,0.1895
"Counter({0: 4, 2: 1})",91,0.0455
"Counter({1: 3, 0: 2})",143,0.0715
"Counter({0: 3, 2: 1, 1: 1})",78,0.039
"Counter({0: 3, 2: 2})",8,0.004
"Counter({1: 4, 0: 1})",26,0.013
"Counter({0: 2, 1: 2, 2: 1})",38,0.019
"Counter({1: 3, 0: 1, 2: 1})",2,0.001
"Counter({0: 2, 2: 2, 1: 1})",3,0.0015
"Counter({1: 3, 2: 2})",1,0.0005
Counter({1: 5}),2,0.001
"Counter({1: 4, 2: 1})",1,0.0005
