Counter,nums,frency
"Counter({0: 3, 3: 1, 1: 1})",26,0.013
"Counter({1: 2, 0: 2, 2: 1})",202,0.101
"Counter({0: 4, 1: 1})",287,0.1435
"Counter({0: 3, 1: 2})",408,0.204
"Counter({1: 3, 0: 2})",276,0.138
Counter({0: 5}),61,0.0305
"Counter({1: 3, 0: 1, 2: 1})",89,0.0445
"Counter({0: 2, 1: 2, 3: 1})",32,0.016
"Counter({0: 3, 2: 1, 1: 1})",224,0.112
"Counter({2: 2, 0: 2, 1: 1})",59,0.0295
"Counter({1: 3, 3: 1, 0: 1})",11,0.0055
"Counter({0: 3, 2: 2})",32,0.016
"Counter({1: 4, 0: 1})",90,0.045
"Counter({1: 4, 2: 1})",12,0.006
"Counter({0: 3, 3: 1, 2: 1})",6,0.003
"Counter({0: 4, 2: 1})",77,0.0385
"Counter({1: 3, 2: 2})",5,0.0025
"Counter({1: 2, 2: 2, 0: 1})",33,0.0165
"Counter({2: 2, 1: 1, 0: 1, 3: 1})",2,0.001
Counter({1: 5}),17,0.0085
"Counter({2: 3, 1: 1, 0: 1})",5,0.0025
"Counter({0: 4, 3: 1})",17,0.0085
"Counter({0: 2, 3: 1, 1: 1, 2: 1})",16,0.008
"Counter({1: 3, 0: 1, 4: 1})",2,0.001
"Counter({2: 3, 1: 2})",4,0.002
"Counter({1: 2, 0: 2, 4: 1})",1,0.0005
"Counter({1: 2, 3: 1, 0: 1, 2: 1})",2,0.001
"Counter({0: 4, 4: 1})",1,0.0005
"Counter({1: 3, 2: 1, 3: 1})",1,0.0005
"Counter({0: 2, 2: 2, 3: 1})",1,0.0005
"Counter({3: 2, 2: 2, 0: 1})",1,0.0005
