Counter,nums,frency
"Counter({1: 2, 2: 1, 4: 1, 3: 1})",18,0.009
"Counter({2: 4, 3: 1})",4,0.002
"Counter({1: 3, 0: 1, 2: 1})",99,0.0495
"Counter({2: 4, 1: 1})",14,0.007
"Counter({1: 4, 2: 1})",42,0.021
"Counter({2: 2, 1: 2, 0: 1})",109,0.0545
"Counter({1: 3, 0: 1, 4: 1})",15,0.0075
"Counter({1: 2, 2: 2, 3: 1})",75,0.0375
"Counter({0: 2, 2: 2, 1: 1})",74,0.037
"Counter({0: 3, 1: 2})",22,0.011
"Counter({1: 2, 3: 2, 0: 1})",27,0.0135
"Counter({2: 3, 1: 1, 3: 1})",39,0.0195
"Counter({1: 3, 2: 2})",63,0.0315
"Counter({1: 3, 0: 1, 3: 1})",49,0.0245
"Counter({2: 2, 3: 1, 1: 1, 0: 1})",79,0.0395
"Counter({0: 3, 2: 1, 1: 1})",24,0.012
"Counter({1: 2, 0: 2, 2: 1})",80,0.04
"Counter({3: 3, 0: 1, 1: 1})",5,0.0025
"Counter({3: 2, 0: 1, 2: 1, 4: 1})",1,0.0005
"Counter({2: 3, 0: 1, 3: 1})",17,0.0085
"Counter({0: 3, 2: 1, 5: 1})",2,0.001
"Counter({3: 2, 1: 1, 0: 1, 2: 1})",39,0.0195
"Counter({2: 2, 1: 1, 4: 1, 3: 1})",12,0.006
"Counter({1: 2, 4: 1, 0: 1, 2: 1})",35,0.0175
"Counter({0: 2, 2: 2, 3: 1})",23,0.0115
"Counter({0: 3, 2: 2})",11,0.0055
"Counter({1: 3, 2: 1, 4: 1})",25,0.0125
"Counter({3: 2, 0: 2, 4: 1})",4,0.002
"Counter({2: 2, 0: 1, 4: 1, 1: 1})",28,0.014
"Counter({3: 2, 1: 2, 2: 1})",29,0.0145
"Counter({2: 4, 0: 1})",8,0.004
"Counter({0: 2, 2: 1, 1: 1, 4: 1})",21,0.0105
"Counter({1: 2, 0: 1, 2: 1, 3: 1})",105,0.0525
"Counter({2: 3, 1: 1, 0: 1})",62,0.031
"Counter({1: 1, 2: 1, 0: 1, 3: 1, 4: 1})",22,0.011
"Counter({1: 4, 3: 1})",27,0.0135
"Counter({1: 3, 0: 2})",30,0.015
"Counter({2: 2, 5: 1, 1: 1, 0: 1})",10,0.005
"Counter({0: 2, 2: 2, 4: 1})",8,0.004
"Counter({1: 4, 0: 1})",25,0.0125
"Counter({0: 2, 3: 1, 1: 1, 2: 1})",50,0.025
"Counter({2: 2, 3: 2, 1: 1})",15,0.0075
"Counter({2: 2, 3: 2, 0: 1})",15,0.0075
"Counter({0: 4, 1: 1})",6,0.003
"Counter({0: 4, 2: 1})",5,0.0025
"Counter({0: 3, 3: 1, 2: 1})",10,0.005
"Counter({1: 3, 2: 1, 3: 1})",53,0.0265
"Counter({1: 2, 0: 1, 4: 1, 3: 1})",19,0.0095
"Counter({1: 3, 0: 1, 5: 1})",4,0.002
"Counter({1: 2, 0: 2, 3: 1})",36,0.018
"Counter({2: 3, 1: 1, 4: 1})",10,0.005
"Counter({0: 3, 2: 1, 4: 1})",9,0.0045
"Counter({3: 2, 0: 2, 1: 1})",19,0.0095
"Counter({2: 3, 0: 2})",22,0.011
"Counter({0: 3, 1: 1, 3: 1})",19,0.0095
"Counter({1: 3, 3: 2})",14,0.007
"Counter({0: 4, 3: 1})",2,0.001
"Counter({2: 2, 4: 1, 0: 1, 3: 1})",6,0.003
"Counter({3: 4, 1: 1})",1,0.0005
"Counter({1: 4, 4: 1})",5,0.0025
"Counter({2: 3, 4: 1, 3: 1})",4,0.002
"Counter({1: 2, 0: 2, 4: 1})",14,0.007
"Counter({2: 3, 1: 2})",31,0.0155
"Counter({0: 2, 5: 1, 1: 1, 2: 1})",8,0.004
"Counter({1: 2, 2: 2, 4: 1})",22,0.011
"Counter({0: 2, 1: 1, 4: 1, 3: 1})",15,0.0075
"Counter({2: 2, 5: 1, 3: 1, 0: 1})",6,0.003
"Counter({3: 3, 4: 1, 1: 1})",1,0.0005
"Counter({2: 2, 1: 2, 5: 1})",4,0.002
"Counter({4: 2, 1: 2, 0: 1})",3,0.0015
Counter({2: 5}),3,0.0015
"Counter({1: 2, 0: 2, 5: 1})",3,0.0015
"Counter({5: 2, 1: 1, 3: 1, 2: 1})",1,0.0005
"Counter({0: 2, 1: 1, 5: 1, 3: 1})",4,0.002
"Counter({4: 2, 3: 1, 2: 1, 0: 1})",1,0.0005
"Counter({1: 3, 3: 1, 4: 1})",13,0.0065
"Counter({0: 3, 3: 2})",6,0.003
"Counter({1: 2, 0: 1, 5: 1, 3: 1})",2,0.001
"Counter({3: 2, 0: 1, 4: 1, 1: 1})",4,0.002
"Counter({1: 2, 5: 1, 3: 1, 2: 1})",3,0.0015
"Counter({0: 3, 6: 1, 2: 1})",1,0.0005
"Counter({2: 4, 5: 1})",1,0.0005
"Counter({0: 3, 4: 1, 1: 1})",7,0.0035
"Counter({4: 2, 5: 1, 2: 1, 0: 1})",1,0.0005
"Counter({0: 1, 3: 1, 5: 1, 2: 1, 1: 1})",6,0.003
"Counter({0: 3, 4: 1, 3: 1})",3,0.0015
Counter({1: 5}),8,0.004
"Counter({0: 1, 2: 1, 3: 1, 6: 1, 1: 1})",1,0.0005
"Counter({1: 3, 2: 1, 6: 1})",1,0.0005
"Counter({1: 2, 2: 1, 0: 1, 5: 1})",8,0.004
Counter({3: 5}),1,0.0005
"Counter({1: 2, 2: 1, 0: 1, 6: 1})",3,0.0015
"Counter({1: 3, 2: 1, 5: 1})",5,0.0025
"Counter({3: 4, 0: 1})",1,0.0005
"Counter({2: 3, 3: 2})",4,0.002
"Counter({0: 2, 2: 1, 4: 1, 3: 1})",7,0.0035
"Counter({3: 3, 2: 1, 0: 1})",3,0.0015
"Counter({4: 2, 0: 2, 2: 1})",3,0.0015
"Counter({0: 4, 4: 1})",1,0.0005
"Counter({3: 3, 4: 1, 2: 1})",1,0.0005
"Counter({2: 3, 4: 1, 0: 1})",8,0.004
"Counter({3: 3, 1: 1, 2: 1})",6,0.003
"Counter({1: 3, 6: 1, 0: 1})",1,0.0005
"Counter({1: 2, 7: 1, 3: 1, 0: 1})",1,0.0005
"Counter({0: 4, 6: 1})",1,0.0005
"Counter({4: 2, 1: 2, 2: 1})",3,0.0015
"Counter({0: 2, 3: 2, 5: 1})",2,0.001
"Counter({0: 2, 2: 1, 3: 1, 5: 1})",2,0.001
"Counter({0: 2, 4: 2, 3: 1})",1,0.0005
"Counter({2: 2, 1: 1, 5: 1, 3: 1})",3,0.0015
"Counter({3: 3, 1: 2})",5,0.0025
"Counter({2: 2, 0: 2, 5: 1})",1,0.0005
"Counter({0: 3, 5: 1, 1: 1})",2,0.001
"Counter({2: 3, 5: 1, 1: 1})",3,0.0015
"Counter({0: 2, 3: 2, 2: 1})",8,0.004
"Counter({4: 1, 2: 1, 7: 1, 1: 1, 3: 1})",1,0.0005
"Counter({0: 3, 3: 1, 5: 1})",1,0.0005
"Counter({2: 4, 4: 1})",2,0.001
"Counter({3: 2, 4: 1, 1: 1, 2: 1})",1,0.0005
"Counter({3: 2, 1: 1, 5: 1, 2: 1})",1,0.0005
"Counter({0: 2, 3: 2, 6: 1})",1,0.0005
"Counter({1: 3, 4: 2})",2,0.001
"Counter({3: 3, 0: 1, 5: 1})",2,0.001
"Counter({3: 2, 2: 1, 1: 1, 6: 1})",1,0.0005
