Counter,nums,frency
"Counter({1: 2, 3: 2, 0: 1})",9,0.0045
"Counter({2: 3, 1: 2})",21,0.0105
"Counter({0: 3, 1: 2})",89,0.0445
"Counter({1: 3, 2: 2})",45,0.0225
"Counter({1: 4, 0: 1})",84,0.042
"Counter({1: 3, 0: 2})",121,0.0605
"Counter({1: 2, 0: 2, 3: 1})",70,0.035
"Counter({1: 2, 0: 1, 3: 1, 2: 1})",90,0.045
"Counter({0: 3, 1: 1, 2: 1})",122,0.061
"Counter({0: 2, 3: 2, 1: 1})",9,0.0045
"Counter({1: 3, 2: 1, 0: 1})",163,0.0815
"Counter({1: 3, 2: 1, 3: 1})",43,0.0215
"Counter({2: 3, 1: 1, 0: 1})",41,0.0205
"Counter({2: 2, 1: 2, 0: 1})",137,0.0685
"Counter({3: 2, 2: 2, 0: 1})",9,0.0045
"Counter({0: 3, 2: 1, 3: 1})",15,0.0075
"Counter({1: 2, 2: 2, 4: 1})",4,0.002
"Counter({2: 2, 0: 1, 1: 1, 3: 1})",16,0.008
"Counter({0: 2, 1: 2, 2: 1})",226,0.113
"Counter({1: 3, 0: 1, 3: 1})",64,0.032
"Counter({0: 3, 2: 2})",34,0.017
"Counter({3: 2, 0: 2, 2: 1})",6,0.003
"Counter({2: 2, 0: 2, 1: 1})",109,0.0545
"Counter({0: 3, 1: 1, 3: 1})",47,0.0235
"Counter({3: 2, 1: 1, 2: 1, 0: 1})",8,0.004
"Counter({0: 2, 2: 1, 1: 1, 4: 1})",16,0.008
"Counter({0: 2, 1: 1, 2: 1, 3: 1})",70,0.035
"Counter({1: 4, 2: 1})",51,0.0255
Counter({1: 5}),23,0.0115
"Counter({0: 4, 1: 1})",33,0.0165
"Counter({0: 4, 2: 1})",20,0.01
Counter({0: 5}),4,0.002
"Counter({1: 2, 2: 2, 3: 1})",20,0.01
"Counter({1: 2, 4: 1, 2: 1, 0: 1})",15,0.0075
"Counter({0: 4, 3: 1})",7,0.0035
"Counter({2: 4, 0: 1})",2,0.001
"Counter({3: 2, 2: 2, 1: 1})",3,0.0015
"Counter({1: 4, 3: 1})",16,0.008
"Counter({0: 3, 4: 1, 1: 1})",6,0.003
"Counter({1: 3, 3: 2})",2,0.001
"Counter({0: 3, 4: 1, 2: 1})",4,0.002
"Counter({3: 2, 4: 1, 1: 1, 2: 1})",1,0.0005
"Counter({2: 3, 0: 2})",18,0.009
"Counter({1: 2, 5: 1, 4: 1, 2: 1})",1,0.0005
"Counter({1: 3, 4: 1, 0: 1})",6,0.003
"Counter({1: 3, 2: 1, 4: 1})",5,0.0025
"Counter({0: 2, 2: 2, 3: 1})",16,0.008
"Counter({0: 3, 5: 1, 2: 1})",1,0.0005
"Counter({3: 3, 2: 1, 0: 1})",1,0.0005
"Counter({1: 2, 0: 1, 2: 1, 5: 1})",4,0.002
"Counter({2: 2, 4: 1, 0: 1, 1: 1})",4,0.002
"Counter({0: 3, 4: 1, 3: 1})",1,0.0005
"Counter({2: 3, 3: 1, 0: 1})",9,0.0045
"Counter({1: 2, 0: 2, 4: 1})",5,0.0025
"Counter({1: 4, 4: 1})",2,0.001
"Counter({0: 3, 3: 2})",5,0.0025
"Counter({2: 4, 1: 1})",5,0.0025
"Counter({2: 3, 3: 1, 4: 1})",1,0.0005
"Counter({0: 2, 1: 1, 3: 1, 4: 1})",4,0.002
"Counter({4: 2, 0: 2, 2: 1})",1,0.0005
Counter({2: 5}),1,0.0005
"Counter({2: 3, 1: 1, 3: 1})",4,0.002
"Counter({1: 2, 5: 1, 3: 1, 0: 1})",2,0.001
"Counter({0: 4, 5: 1})",1,0.0005
"Counter({2: 2, 1: 2, 5: 1})",1,0.0005
"Counter({1: 2, 4: 1, 3: 1, 0: 1})",4,0.002
"Counter({0: 2, 2: 2, 4: 1})",2,0.001
"Counter({3: 3, 0: 2})",1,0.0005
"Counter({1: 2, 4: 1, 5: 1, 3: 1})",1,0.0005
"Counter({0: 2, 1: 2, 5: 1})",2,0.001
"Counter({2: 2, 0: 1, 5: 1, 1: 1})",3,0.0015
"Counter({1: 3, 0: 1, 5: 1})",1,0.0005
"Counter({0: 4, 4: 1})",2,0.001
"Counter({2: 2, 1: 1, 5: 1, 3: 1})",1,0.0005
"Counter({1: 2, 3: 2, 2: 1})",1,0.0005
"Counter({0: 2, 5: 1, 1: 1, 2: 1})",1,0.0005
"Counter({3: 3, 1: 1, 0: 1})",1,0.0005
"Counter({0: 3, 1: 1, 5: 1})",1,0.0005
"Counter({0: 1, 4: 1, 3: 1, 1: 1, 2: 1})",1,0.0005
"Counter({1: 2, 4: 1, 3: 1, 2: 1})",1,0.0005
"Counter({2: 2, 0: 1, 4: 1, 3: 1})",1,0.0005
"Counter({1: 2, 4: 2, 0: 1})",1,0.0005
"Counter({0: 2, 3: 1, 4: 1, 2: 1})",1,0.0005
"Counter({2: 3, 3: 2})",1,0.0005
