Counter,nums,frency
"Counter({1: 2, 3: 2, 0: 1})",7,0.0035
"Counter({2: 3, 1: 2})",10,0.005
"Counter({0: 4, 1: 1})",67,0.0335
"Counter({1: 4, 2: 1})",38,0.019
"Counter({1: 3, 0: 2})",172,0.086
"Counter({1: 2, 0: 2, 2: 1})",257,0.1285
"Counter({1: 3, 0: 1, 2: 1})",169,0.0845
"Counter({0: 3, 1: 2})",173,0.0865
"Counter({0: 2, 1: 1, 3: 1, 2: 1})",55,0.0275
"Counter({1: 2, 0: 1, 2: 1, 3: 1})",46,0.023
"Counter({2: 2, 1: 2, 0: 1})",111,0.0555
"Counter({1: 4, 0: 1})",93,0.0465
"Counter({0: 3, 2: 1, 1: 1})",177,0.0885
"Counter({0: 2, 2: 2, 1: 1})",109,0.0545
"Counter({0: 3, 2: 2})",41,0.0205
"Counter({1: 3, 3: 1, 2: 1})",22,0.011
"Counter({1: 3, 0: 1, 3: 1})",61,0.0305
"Counter({2: 2, 0: 2, 3: 1})",10,0.005
"Counter({1: 2, 0: 2, 3: 1})",57,0.0285
"Counter({2: 3, 1: 1, 0: 1})",21,0.0105
Counter({1: 5}),24,0.012
"Counter({0: 4, 2: 1})",36,0.018
"Counter({1: 3, 2: 2})",38,0.019
Counter({0: 5}),9,0.0045
"Counter({0: 3, 1: 1, 3: 1})",38,0.019
"Counter({0: 4, 3: 1})",12,0.006
"Counter({2: 4, 0: 1})",7,0.0035
"Counter({2: 3, 0: 2})",11,0.0055
"Counter({2: 2, 3: 1, 0: 1, 1: 1})",11,0.0055
"Counter({1: 4, 3: 1})",13,0.0065
"Counter({0: 3, 3: 1, 2: 1})",14,0.007
"Counter({1: 2, 3: 1, 4: 1, 2: 1})",2,0.001
"Counter({1: 3, 4: 1, 0: 1})",7,0.0035
"Counter({0: 3, 4: 1, 2: 1})",4,0.002
"Counter({0: 3, 5: 1, 1: 1})",2,0.001
"Counter({1: 2, 2: 1, 4: 1, 0: 1})",9,0.0045
"Counter({2: 2, 3: 2, 0: 1})",1,0.0005
"Counter({1: 2, 0: 1, 2: 1, 5: 1})",1,0.0005
"Counter({0: 3, 3: 2})",3,0.0015
"Counter({2: 3, 3: 1, 0: 1})",3,0.0015
"Counter({0: 3, 1: 1, 4: 1})",4,0.002
"Counter({0: 2, 1: 1, 4: 1, 2: 1})",5,0.0025
"Counter({3: 2, 2: 1, 0: 1, 1: 1})",4,0.002
"Counter({1: 2, 2: 2, 3: 1})",5,0.0025
"Counter({2: 3, 3: 2})",1,0.0005
"Counter({0: 2, 3: 1, 4: 1, 1: 1})",3,0.0015
"Counter({2: 4, 1: 1})",3,0.0015
"Counter({2: 3, 3: 1, 1: 1})",1,0.0005
"Counter({0: 4, 4: 1})",3,0.0015
"Counter({1: 3, 4: 1, 2: 1})",1,0.0005
"Counter({2: 2, 1: 2, 4: 1})",1,0.0005
"Counter({3: 2, 0: 2, 1: 1})",8,0.004
"Counter({0: 2, 2: 2, 4: 1})",2,0.001
"Counter({1: 2, 4: 1, 5: 1, 2: 1})",1,0.0005
"Counter({1: 2, 2: 1, 5: 1, 3: 1})",1,0.0005
"Counter({1: 2, 0: 2, 4: 1})",7,0.0035
"Counter({1: 2, 0: 1, 3: 1, 4: 1})",1,0.0005
"Counter({0: 2, 3: 2, 2: 1})",2,0.001
"Counter({2: 2, 4: 1, 0: 1, 1: 1})",2,0.001
"Counter({1: 4, 4: 1})",2,0.001
"Counter({2: 2, 0: 1, 4: 1, 3: 1})",1,0.0005
"Counter({2: 2, 3: 2, 1: 1})",1,0.0005
