Counter,nums,frency
"Counter({2: 2, 4: 1, 1: 1, 3: 1})",50,0.025
"Counter({2: 4, 4: 1})",10,0.005
"Counter({1: 3, 0: 1, 3: 1})",14,0.007
"Counter({3: 4, 1: 1})",3,0.0015
"Counter({2: 3, 1: 1, 3: 1})",63,0.0315
"Counter({1: 3, 3: 2})",14,0.007
"Counter({2: 3, 1: 1, 5: 1})",6,0.003
"Counter({1: 2, 3: 1, 4: 1, 2: 1})",47,0.0235
"Counter({2: 3, 0: 1, 3: 1})",14,0.007
"Counter({1: 3, 0: 2})",4,0.002
"Counter({2: 2, 1: 2, 3: 1})",63,0.0315
"Counter({2: 3, 3: 2})",13,0.0065
"Counter({3: 2, 4: 1, 1: 1, 2: 1})",34,0.017
"Counter({2: 2, 0: 1, 3: 1, 1: 1})",57,0.0285
"Counter({3: 3, 1: 1, 2: 1})",30,0.015
"Counter({1: 3, 2: 1, 4: 1})",20,0.01
"Counter({4: 1, 1: 1, 0: 1, 3: 1, 2: 1})",33,0.0165
"Counter({3: 2, 0: 2, 2: 1})",12,0.006
"Counter({1: 4, 2: 1})",12,0.006
"Counter({3: 2, 4: 1, 0: 1, 1: 1})",10,0.005
"Counter({3: 3, 1: 1, 4: 1})",9,0.0045
"Counter({3: 2, 2: 2, 1: 1})",52,0.026
"Counter({2: 2, 1: 2, 0: 1})",35,0.0175
"Counter({0: 2, 3: 1, 5: 1, 1: 1})",6,0.003
"Counter({4: 1, 1: 1, 0: 1, 2: 1, 5: 1})",10,0.005
"Counter({2: 2, 4: 2, 3: 1})",7,0.0035
"Counter({3: 4, 2: 1})",5,0.0025
"Counter({1: 3, 3: 1, 2: 1})",51,0.0255
"Counter({2: 3, 1: 2})",35,0.0175
"Counter({1: 4, 3: 1})",7,0.0035
"Counter({1: 2, 5: 1, 0: 1, 2: 1})",10,0.005
"Counter({3: 2, 0: 1, 2: 1, 1: 1})",46,0.023
"Counter({2: 2, 3: 1, 4: 1, 0: 1})",18,0.009
"Counter({0: 2, 4: 1, 6: 1, 3: 1})",2,0.001
"Counter({1: 1, 6: 1, 3: 1, 4: 1, 0: 1})",2,0.001
"Counter({1: 2, 3: 2, 4: 1})",17,0.0085
"Counter({3: 1, 0: 1, 5: 1, 1: 1, 2: 1})",12,0.006
"Counter({1: 2, 0: 1, 3: 1, 2: 1})",50,0.025
"Counter({2: 2, 1: 2, 5: 1})",14,0.007
