Counter,nums,frency
"Counter({2: 2, 4: 1, 1: 1, 3: 1})",20,0.01
"Counter({2: 4, 3: 1})",10,0.005
"Counter({1: 3, 0: 1, 2: 1})",57,0.0285
"Counter({2: 4, 1: 1})",11,0.0055
"Counter({1: 3, 2: 1, 3: 1})",77,0.0385
"Counter({1: 3, 2: 2})",66,0.033
"Counter({1: 2, 2: 1, 0: 1, 4: 1})",40,0.02
"Counter({1: 2, 2: 2, 4: 1})",36,0.018
"Counter({2: 3, 0: 2})",28,0.014
"Counter({0: 3, 1: 2})",8,0.004
"Counter({1: 2, 3: 2, 0: 1})",31,0.0155
"Counter({1: 2, 2: 2, 0: 1})",100,0.05
"Counter({2: 3, 1: 1, 3: 1})",36,0.018
"Counter({1: 2, 2: 1, 0: 1, 3: 1})",98,0.049
"Counter({2: 2, 3: 1, 1: 1, 0: 1})",89,0.0445
"Counter({1: 3, 3: 2})",13,0.0065
"Counter({0: 2, 1: 1, 2: 1, 3: 1})",41,0.0205
"Counter({0: 2, 1: 2, 2: 1})",47,0.0235
"Counter({3: 3, 0: 1, 1: 1})",7,0.0035
"Counter({3: 2, 1: 1, 2: 1, 4: 1})",6,0.003
"Counter({2: 3, 0: 1, 3: 1})",22,0.011
"Counter({0: 2, 3: 1, 5: 1, 1: 1})",5,0.0025
"Counter({3: 1, 1: 1, 0: 1, 2: 1, 4: 1})",28,0.014
"Counter({1: 3, 0: 1, 3: 1})",41,0.0205
"Counter({3: 2, 0: 2, 2: 1})",11,0.0055
"Counter({4: 2, 0: 2, 3: 1})",1,0.0005
"Counter({3: 2, 1: 1, 2: 1, 0: 1})",41,0.0205
"Counter({2: 2, 0: 1, 5: 1, 1: 1})",8,0.004
"Counter({3: 3, 1: 2})",7,0.0035
"Counter({2: 4, 0: 1})",15,0.0075
"Counter({1: 2, 2: 2, 3: 1})",69,0.0345
"Counter({0: 3, 2: 2})",9,0.0045
"Counter({1: 4, 0: 1})",15,0.0075
"Counter({2: 3, 1: 2})",41,0.0205
"Counter({1: 3, 0: 2})",24,0.012
"Counter({2: 2, 6: 1, 1: 1, 0: 1})",8,0.004
"Counter({1: 1, 5: 1, 3: 1, 0: 1, 2: 1})",5,0.0025
"Counter({2: 2, 0: 1, 4: 1, 1: 1})",33,0.0165
"Counter({2: 2, 0: 2, 1: 1})",48,0.024
"Counter({3: 2, 1: 2, 2: 1})",46,0.023
"Counter({1: 2, 3: 2, 4: 1})",5,0.0025
"Counter({0: 3, 2: 1, 1: 1})",15,0.0075
"Counter({0: 2, 2: 2, 3: 1})",19,0.0095
Counter({1: 5}),8,0.004
"Counter({3: 3, 2: 1, 0: 1})",4,0.002
"Counter({1: 4, 2: 1})",27,0.0135
"Counter({0: 4, 1: 1})",3,0.0015
"Counter({3: 2, 0: 2, 1: 1})",11,0.0055
"Counter({2: 3, 3: 2})",5,0.0025
"Counter({0: 4, 3: 1})",3,0.0015
"Counter({1: 4, 3: 1})",13,0.0065
"Counter({4: 2, 0: 1, 2: 1, 1: 1})",7,0.0035
Counter({2: 5}),3,0.0015
"Counter({1: 2, 2: 1, 0: 1, 5: 1})",9,0.0045
"Counter({2: 3, 0: 1, 4: 1})",10,0.005
"Counter({1: 2, 0: 2, 3: 1})",30,0.015
"Counter({0: 2, 2: 1, 4: 1, 1: 1})",17,0.0085
"Counter({3: 2, 4: 1, 0: 1, 2: 1})",5,0.0025
"Counter({0: 2, 3: 1, 4: 1, 1: 1})",20,0.01
