Counter,nums,frency
"Counter({1: 2, 3: 2, 0: 1})",19,0.0095
Counter({2: 5}),2,0.001
"Counter({1: 3, 0: 2})",67,0.0335
"Counter({2: 3, 1: 2})",21,0.0105
"Counter({1: 4, 2: 1})",58,0.029
"Counter({1: 4, 0: 1})",52,0.026
"Counter({1: 2, 0: 2, 4: 1})",9,0.0045
"Counter({1: 2, 0: 1, 3: 1, 2: 1})",112,0.056
"Counter({0: 3, 2: 2})",31,0.0155
"Counter({0: 3, 1: 2})",58,0.029
"Counter({1: 3, 2: 1, 0: 1})",153,0.0765
"Counter({1: 2, 2: 2, 3: 1})",41,0.0205
"Counter({2: 4, 1: 1})",11,0.0055
"Counter({1: 2, 0: 2, 2: 1})",173,0.0865
"Counter({0: 3, 2: 1, 1: 1})",87,0.0435
"Counter({2: 2, 1: 2, 0: 1})",127,0.0635
Counter({1: 5}),22,0.011
"Counter({3: 2, 2: 2, 0: 1})",7,0.0035
"Counter({2: 2, 0: 1, 3: 1, 1: 1})",51,0.0255
"Counter({0: 3, 2: 1, 4: 1})",4,0.002
"Counter({1: 2, 2: 2, 4: 1})",12,0.006
"Counter({2: 3, 0: 1, 3: 1})",9,0.0045
"Counter({1: 3, 0: 1, 3: 1})",53,0.0265
"Counter({1: 3, 2: 1, 4: 1})",15,0.0075
"Counter({3: 2, 0: 2, 2: 1})",6,0.003
"Counter({0: 2, 1: 1, 3: 1, 2: 1})",81,0.0405
"Counter({2: 3, 0: 1, 1: 1})",49,0.0245
"Counter({0: 3, 2: 1, 3: 1})",23,0.0115
"Counter({3: 2, 1: 1, 2: 1, 0: 1})",7,0.0035
"Counter({0: 2, 2: 1, 1: 1, 4: 1})",19,0.0095
"Counter({1: 2, 0: 2, 3: 1})",57,0.0285
"Counter({0: 2, 2: 2, 1: 1})",98,0.049
"Counter({2: 3, 1: 1, 3: 1})",10,0.005
"Counter({0: 4, 1: 1})",21,0.0105
"Counter({0: 4, 2: 1})",9,0.0045
"Counter({0: 3, 3: 1, 1: 1})",37,0.0185
"Counter({1: 3, 2: 2})",65,0.0325
"Counter({1: 3, 3: 1, 2: 1})",51,0.0255
"Counter({1: 3, 0: 1, 4: 1})",16,0.008
"Counter({1: 4, 3: 1})",20,0.01
"Counter({0: 4, 3: 1})",4,0.002
"Counter({2: 3, 0: 2})",19,0.0095
"Counter({1: 2, 4: 1, 0: 1, 2: 1})",24,0.012
"Counter({3: 2, 0: 2, 1: 1})",14,0.007
"Counter({2: 4, 0: 1})",10,0.005
"Counter({0: 2, 4: 1, 3: 1, 2: 1})",4,0.002
"Counter({4: 1, 0: 1, 2: 1, 3: 1, 1: 1})",10,0.005
"Counter({3: 2, 2: 2, 1: 1})",5,0.0025
"Counter({2: 2, 0: 1, 4: 1, 3: 1})",3,0.0015
"Counter({1: 4, 4: 1})",7,0.0035
"Counter({2: 4, 3: 1})",1,0.0005
"Counter({1: 2, 3: 1, 0: 1, 4: 1})",9,0.0045
"Counter({2: 2, 0: 2, 3: 1})",20,0.01
"Counter({2: 2, 1: 1, 0: 1, 4: 1})",8,0.004
"Counter({1: 3, 4: 1, 3: 1})",3,0.0015
"Counter({0: 3, 5: 1, 2: 1})",2,0.001
"Counter({3: 3, 4: 1, 1: 1})",1,0.0005
"Counter({1: 2, 5: 1, 4: 1, 3: 1})",1,0.0005
"Counter({0: 2, 1: 1, 4: 1, 3: 1})",6,0.003
"Counter({3: 3, 2: 1, 0: 1})",2,0.001
"Counter({3: 2, 4: 1, 2: 1, 0: 1})",3,0.0015
"Counter({1: 2, 0: 1, 3: 1, 5: 1})",2,0.001
"Counter({2: 2, 0: 1, 5: 1, 1: 1})",4,0.002
"Counter({1: 2, 0: 2, 5: 1})",2,0.001
"Counter({0: 3, 4: 1, 1: 1})",9,0.0045
"Counter({0: 3, 3: 2})",5,0.0025
"Counter({1: 2, 3: 2, 2: 1})",6,0.003
"Counter({0: 2, 2: 2, 4: 1})",7,0.0035
"Counter({2: 3, 3: 1, 4: 1})",1,0.0005
"Counter({4: 2, 0: 2, 2: 1})",1,0.0005
"Counter({3: 2, 4: 1, 2: 1, 1: 1})",1,0.0005
"Counter({0: 4, 4: 1})",3,0.0015
"Counter({0: 4, 6: 1})",1,0.0005
"Counter({2: 2, 1: 2, 5: 1})",1,0.0005
"Counter({2: 2, 4: 1, 1: 1, 3: 1})",2,0.001
"Counter({1: 2, 4: 1, 3: 1, 2: 1})",4,0.002
"Counter({0: 2, 3: 2, 4: 1})",1,0.0005
"Counter({3: 3, 0: 1, 1: 1})",1,0.0005
