ÆÚºÅ,ºÅÂë1,ºÅÂë2,ºÅÂë3,ºÅÂë4,ºÅÂë5,ºÅÂë6,ºÅÂë7
195,9,11,26,28,35,6,7
196,2,7,9,19,33,1,7
197,3,14,16,22,34,2,6
198,3,11,15,22,30,8,10
199,3,9,10,15,16,7,9
200,4,18,27,28,30,3,10
201,15,24,27,30,34,4,12
202,2,9,16,23,27,3,8
203,1,3,22,28,30,2,5
204,12,13,17,31,32,1,6
205,3,4,5,11,22,5,6
206,7,13,20,29,34,4,7
207,2,17,20,28,29,1,7
208,1,5,15,22,31,2,9
209,4,15,20,22,24,1,9
210,1,4,10,11,14,2,5
211,1,5,11,12,26,2,7
212,10,11,22,26,28,2,4
213,11,13,20,27,31,2,4
214,7,19,20,31,34,5,8
215,2,3,9,16,32,3,4
216,1,2,5,15,21,4,5
217,1,8,17,27,30,5,6
218,11,14,17,22,30,7,9
219,4,5,28,34,35,1,8
220,4,7,20,25,32,3,9
221,3,15,26,32,34,8,12
222,2,14,21,22,26,5,7
223,3,5,6,24,30,3,7
224,4,11,23,26,30,1,6
225,4,14,20,28,35,2,3
226,10,12,24,31,33,4,9
227,8,10,12,26,32,5,9
228,1,12,22,23,33,1,12
229,9,14,16,24,26,4,12
230,1,6,7,9,10,2,11
231,4,8,19,31,35,1,2
232,1,7,23,24,26,3,7
233,3,7,9,17,21,3,6
234,1,4,5,11,35,3,9
235,1,6,18,32,34,1,3
236,2,13,19,22,23,2,7
237,1,8,13,24,32,2,9
238,19,29,31,34,35,6,10
239,14,17,19,24,32,1,6
240,2,10,19,24,30,5,8
241,9,22,25,31,32,8,12
242,6,10,33,34,35,1,3
243,17,20,21,29,30,5,9
244,23,25,26,30,34,3,7
245,3,7,18,25,30,2,7
246,17,25,26,32,34,4,7
247,7,11,12,16,33,5,7
248,1,2,7,33,35,6,10
249,3,4,7,11,30,8,9
250,9,12,19,22,33,7,8
251,10,11,26,33,34,1,6
252,5,9,19,22,32,3,5
253,2,5,20,28,31,2,11
254,4,22,23,24,32,6,12
255,3,4,26,29,33,6,7
256,2,10,20,21,35,1,12
257,3,7,8,25,27,3,5
258,1,5,7,8,11,6,10
259,4,6,7,20,29,2,4
260,3,5,12,13,26,7,12
261,3,16,20,26,29,3,9
262,4,5,19,25,26,1,11
263,5,6,7,14,17,10,11
264,3,12,24,27,34,1,12
265,3,5,6,13,18,10,12
266,5,6,14,27,29,6,10
267,1,13,20,21,26,4,10
268,10,13,18,23,30,6,12
269,20,21,25,34,35,3,12
270,4,7,8,11,16,9,11
271,5,9,16,18,30,4,7
272,5,8,9,14,34,2,5
273,7,17,26,27,30,6,12
274,3,13,15,26,30,5,12
275,5,19,25,31,33,10,11
276,1,2,3,7,17,4,10
277,6,15,17,22,25,1,9
278,3,6,9,23,34,2,11
279,2,3,13,19,26,2,3
280,1,18,21,25,35,7,8
281,2,10,16,21,23,2,12
282,1,18,21,28,32,5,12
283,3,5,7,20,23,4,11
284,3,11,27,34,35,1,2
285,3,10,16,21,33,5,6
286,6,15,20,23,27,8,10
287,1,19,23,24,30,4,5
288,2,7,8,20,25,11,12
289,24,27,28,31,34,4,8
290,5,9,19,27,35,2,3
291,5,8,10,32,35,2,10
292,1,4,9,14,17,1,6
293,2,7,19,22,28,3,5
294,5,12,22,27,32,4,7
295,5,10,15,19,31,3,6
296,5,11,18,19,27,5,6
297,5,8,12,19,21,6,11
298,4,6,18,27,33,7,9
299,13,15,17,19,22,3,4
300,10,17,20,30,35,10,12
301,2,12,22,23,27,2,6
302,3,12,17,19,31,2,6
303,1,12,14,26,27,7,9
304,16,17,26,29,35,1,7
305,2,11,15,27,30,2,5
306,4,13,20,26,28,3,12
307,13,19,28,30,33,2,12
308,9,14,18,33,34,3,12
309,1,5,18,27,33,6,8
310,5,6,18,19,27,7,12
311,5,15,16,28,31,2,7
312,4,5,6,15,26,8,11
313,12,23,25,34,35,1,7
314,17,24,26,28,32,7,9
315,6,18,20,21,31,3,4
316,6,24,26,30,33,2,7
317,5,13,18,19,24,2,7
318,10,13,16,28,35,4,5
319,5,10,21,26,30,1,7
320,1,15,17,21,33,7,10
321,1,6,11,23,29,1,11
322,5,6,7,11,16,2,11
323,8,9,13,14,34,5,7
324,4,11,19,20,24,8,11
325,2,4,6,9,18,7,10
326,7,13,14,15,22,7,11
327,2,13,15,22,34,2,12
328,8,22,23,33,34,4,6
329,4,5,8,17,27,6,11
330,3,8,11,15,16,2,10
331,4,10,11,18,31,5,8
332,3,8,10,23,27,2,12
333,7,8,13,19,29,11,12
334,5,8,15,18,21,4,8
335,5,16,23,25,28,1,12
336,1,2,13,14,26,5,11
337,1,11,12,18,21,8,10
338,7,8,15,27,32,8,12
339,3,10,13,14,32,7,11
340,8,14,16,34,35,6,12
341,1,7,10,12,23,6,8
342,2,4,6,19,22,2,6
343,2,18,23,27,30,5,10
344,1,11,19,26,35,11,12
345,4,10,15,20,24,7,11
346,11,15,16,20,29,4,8
347,4,15,16,20,35,3,12
348,10,16,22,26,27,7,11
349,6,10,16,29,33,5,11
350,3,4,10,16,32,4,9
351,2,8,14,15,35,10,12
352,1,4,16,19,33,3,12
353,3,6,10,12,31,1,2
354,2,6,7,12,15,6,12
355,4,10,13,28,33,11,12
356,12,19,20,22,28,2,6
357,1,3,31,32,34,1,3
358,1,12,18,26,35,6,12
359,5,11,16,18,27,7,12
360,6,16,26,33,35,4,8
361,3,9,21,28,30,1,12
362,1,3,5,7,18,8,9
363,8,12,15,27,30,1,2
364,1,2,4,16,24,7,9
365,1,4,7,11,30,7,8
366,3,8,21,26,33,4,5
367,7,9,13,14,33,2,4
368,1,4,18,24,28,2,3
369,6,22,28,29,33,2,7
370,16,18,24,25,27,2,7
371,10,12,15,17,19,2,3
372,6,13,16,19,29,3,7
373,11,17,19,29,33,8,9
374,1,3,14,26,30,6,11
375,1,4,14,15,21,1,5
376,7,13,17,24,33,1,10
377,1,8,16,27,34,3,12
378,4,11,19,25,32,1,2
379,3,18,19,26,34,6,12
380,1,5,7,22,25,3,4
381,3,5,13,16,28,2,6
382,2,5,10,13,30,4,6
383,12,14,20,28,31,9,11
384,8,10,15,17,18,1,8
385,5,9,17,18,19,7,10
386,4,12,13,16,17,4,9
387,3,7,24,25,27,2,12
388,3,9,15,18,26,6,12
389,3,8,17,20,24,6,11
390,3,12,16,29,32,1,5
391,14,17,19,25,30,4,8
392,21,26,27,29,34,5,6
393,15,16,17,31,32,3,9
394,4,8,18,20,32,10,12
395,2,7,14,22,31,1,7
396,6,18,23,26,28,3,12
397,14,22,23,26,30,3,5
398,3,6,7,8,21,1,8
399,2,4,5,12,28,8,11
400,4,8,18,29,30,3,7
401,5,12,13,31,34,10,12
402,1,7,10,11,20,3,6
403,2,6,24,33,34,2,3
404,1,11,26,33,35,2,10
405,3,8,9,13,33,1,2
406,9,18,29,31,33,6,11
407,6,17,18,24,31,7,11
408,4,7,20,22,33,1,2
409,19,24,28,29,34,10,11
410,3,7,23,26,33,4,9
411,1,6,8,12,15,3,4
412,5,11,16,28,35,6,9
413,1,23,24,28,33,4,5
414,7,10,22,23,33,8,11
415,3,11,12,19,21,5,11
416,14,19,23,27,34,6,12
417,4,5,19,31,35,2,12
418,8,12,14,15,19,1,10
419,3,16,22,23,27,1,4
420,12,14,21,32,33,2,11
421,3,4,16,18,25,1,11
422,4,7,21,22,29,3,6
423,11,12,14,16,26,8,9
424,1,3,4,11,29,8,12
425,11,13,15,21,27,5,6
426,7,16,20,21,34,4,6
427,8,10,12,19,20,10,11
428,6,9,29,32,35,2,4
429,8,9,21,30,31,5,12
430,6,7,21,29,30,1,10
431,21,22,25,27,30,8,9
432,6,9,11,16,35,2,5
433,4,5,14,21,34,6,9
434,7,11,13,22,29,3,8
435,1,14,17,21,33,7,10
436,2,6,13,18,25,1,2
437,12,18,26,28,29,5,6
438,8,12,27,31,33,4,8
439,3,7,8,9,29,9,10
440,3,16,27,28,32,4,5
441,6,19,21,27,28,3,11
442,10,16,23,25,34,2,5
443,9,10,24,31,32,7,12
444,7,8,9,10,22,3,4
445,4,14,17,24,31,1,4
446,1,16,19,20,31,2,7
447,1,13,14,26,28,7,11
448,14,24,26,28,35,2,3
449,6,7,13,22,24,10,12
450,3,14,15,23,29,4,5
451,6,20,21,26,30,6,9
452,12,13,16,20,21,1,7
453,2,15,18,25,27,5,7
454,10,12,14,18,23,1,4
455,13,14,20,28,34,6,10
456,7,14,18,29,35,5,12
457,11,16,25,30,34,8,10
458,3,11,16,18,33,3,11
459,5,7,14,18,19,4,10
460,6,22,26,28,31,1,7
461,6,20,24,33,34,4,11
462,26,27,28,32,34,6,10
463,8,9,21,25,33,1,8
464,3,14,19,23,25,1,4
465,16,22,24,29,31,4,5
466,1,2,14,25,31,5,7
467,6,11,17,22,35,11,12
468,7,12,25,27,28,10,11
469,1,2,14,17,18,8,10
470,2,10,13,21,35,1,12
471,7,16,24,26,31,10,11
472,3,4,10,27,29,1,5
473,7,11,12,22,30,3,6
474,1,6,9,15,26,8,9
475,7,18,28,29,32,6,8
476,1,6,12,20,34,4,12
477,3,9,12,28,30,4,12
478,13,19,24,25,29,2,8
479,5,12,17,24,26,1,2
480,2,5,23,30,31,3,9
481,2,5,10,16,30,4,7
482,1,8,13,21,24,2,11
483,8,12,16,26,33,5,6
484,3,7,12,18,31,7,10
485,1,20,23,32,33,1,4
486,7,10,28,31,32,8,10
487,1,3,4,11,29,2,4
488,5,14,15,32,34,3,10
489,12,14,19,23,35,2,7
490,4,10,12,28,31,8,11
491,4,22,27,29,31,2,10
492,1,9,10,27,35,6,11
493,9,11,12,26,32,4,10
494,13,19,22,27,28,5,6
495,2,4,16,28,34,5,7
496,3,7,20,33,34,9,10
497,9,10,12,20,30,1,7
498,11,16,21,23,25,2,12
499,5,16,18,19,25,2,7
500,9,18,28,29,35,3,11
501,22,24,26,34,35,6,12
502,4,7,9,10,13,6,12
503,2,3,11,20,25,2,7
504,3,8,10,14,20,4,8
505,10,20,22,29,32,5,10
506,2,5,20,30,35,5,9
507,2,4,6,18,21,5,8
508,3,6,13,28,33,4,11
509,3,19,25,29,35,5,9
510,1,23,25,31,33,1,12
511,5,7,18,27,31,1,8
512,2,7,14,29,32,10,11
513,14,23,25,31,32,1,3
514,1,3,27,30,31,2,11
515,11,17,18,21,27,7,8
516,5,7,10,12,24,7,11
517,8,11,22,27,32,3,7
518,2,3,19,23,34,4,9
519,7,10,17,32,35,5,12
520,3,8,13,17,23,5,11
521,5,18,21,28,32,9,11
522,3,9,21,25,29,1,8
523,4,19,25,30,35,4,7
524,1,18,20,21,26,4,11
525,1,2,3,4,30,3,5
526,7,8,9,15,34,7,8
527,2,16,24,30,32,4,7
528,12,13,18,21,29,2,8
529,2,10,19,33,35,5,6
530,5,6,8,9,15,4,11
531,1,10,13,14,21,9,12
532,10,11,19,21,28,5,12
533,6,8,13,24,28,6,12
534,4,19,21,23,31,4,9
535,1,2,12,13,23,9,12
536,4,13,15,18,29,5,11
537,14,16,18,24,31,1,8
538,8,24,31,33,35,7,10
539,3,22,24,29,34,7,11
540,3,13,15,23,26,1,10
541,24,25,26,28,29,4,12
542,10,12,28,30,34,3,4
543,9,15,17,20,22,10,11
544,3,4,28,31,34,4,11
545,19,20,30,32,33,3,5
546,4,9,23,24,30,8,11
547,4,9,22,28,30,1,10
548,4,21,23,24,30,9,10
549,12,20,23,27,34,1,6
550,1,13,22,25,35,3,4
551,1,9,24,26,34,9,12
552,2,4,7,23,28,2,8
553,5,6,23,28,32,4,5
554,3,6,10,13,18,9,11
555,10,18,19,25,26,4,12
556,19,27,31,32,35,11,12
557,5,16,17,25,34,1,11
558,1,5,11,14,35,9,10
559,4,7,17,18,19,3,10
560,3,21,23,29,32,10,11
561,6,9,24,29,32,2,7
562,1,5,16,19,28,2,10
563,2,8,21,22,29,3,5
564,10,16,25,26,29,1,5
565,2,6,19,25,32,9,12
566,4,7,9,20,25,2,11
567,1,20,22,28,29,5,7
568,1,11,20,21,22,3,4
569,1,12,15,19,22,2,4
570,7,18,19,32,34,2,10
571,15,17,19,32,33,1,3
572,11,17,23,26,27,1,10
573,3,5,8,19,34,1,12
574,5,18,28,33,34,3,4
575,5,17,20,32,33,4,9
576,9,11,13,18,33,2,3
577,2,15,18,21,22,3,10
578,3,4,13,24,33,1,11
579,7,11,18,26,28,4,5
580,3,29,30,32,35,3,8
581,3,15,23,26,32,1,12
582,3,12,18,29,34,3,11
583,1,6,12,26,31,1,7
584,8,15,24,26,27,5,6
585,5,7,13,29,35,3,8
586,2,7,16,20,33,3,11
587,5,7,9,24,32,8,10
588,2,27,30,32,33,1,3
589,14,19,20,25,31,6,8
590,6,7,12,18,23,1,12
591,5,8,17,18,23,4,12
592,5,6,20,31,32,6,12
593,2,14,17,26,34,8,12
594,10,14,20,21,35,2,5
595,6,9,19,26,34,5,7
596,1,4,15,21,22,4,9
597,4,10,19,25,27,6,12
598,9,12,18,23,29,2,4
599,4,15,22,24,32,2,9
600,9,11,22,27,30,9,11
601,4,19,20,24,29,3,4
602,1,12,23,24,29,8,12
603,5,15,21,25,29,5,8
604,2,5,18,19,31,1,9
605,8,9,17,18,24,3,7
606,6,9,17,30,35,10,11
607,7,14,19,22,34,7,12
608,3,7,9,17,28,4,12
609,15,32,33,34,35,3,12
610,3,5,8,29,33,4,8
611,5,6,17,21,29,2,4
612,3,7,9,17,34,4,5
613,1,5,7,16,19,3,12
614,3,6,15,22,35,9,11
615,3,5,6,15,18,3,10
616,5,28,31,34,35,8,9
617,3,14,21,29,35,2,6
618,12,15,18,22,31,1,8
619,9,13,14,25,30,2,5
620,6,11,14,21,31,9,12
621,2,5,14,22,34,3,9
622,5,13,20,21,25,8,9
623,2,12,15,20,34,1,6
624,8,10,21,30,31,2,5
625,1,17,19,32,33,2,11
626,4,5,27,31,34,3,6
627,1,3,4,25,31,6,9
628,2,7,25,30,35,7,12
629,5,11,16,18,35,1,6
630,8,10,11,13,17,8,11
631,7,18,28,31,33,1,2
632,1,3,29,32,34,2,5
633,1,4,11,14,33,5,7
634,6,16,18,26,30,2,3
635,10,16,20,23,32,8,11
636,7,8,19,24,27,6,7
637,10,17,18,32,35,10,11
638,11,15,23,26,30,2,11
639,5,11,12,19,28,5,12
640,1,8,20,27,30,3,4
641,18,21,22,24,29,5,11
642,1,4,6,8,28,8,12
643,10,19,23,25,30,2,4
644,9,15,20,26,31,5,12
645,8,11,13,15,17,3,10
646,14,18,20,21,28,3,6
647,12,16,19,23,24,2,5
648,1,4,24,27,32,3,10
649,19,20,22,30,33,3,9
650,16,29,30,32,33,4,5
651,6,19,20,22,26,1,11
652,3,19,24,28,33,4,12
653,14,17,18,22,29,10,11
654,12,14,17,20,28,2,6
655,9,12,14,22,31,5,8
656,7,9,13,15,19,3,10
657,15,19,32,33,34,9,12
658,4,17,20,23,30,2,3
659,1,8,11,21,35,9,12
660,11,16,17,18,25,2,9
661,6,13,22,25,35,9,12
662,2,17,31,33,34,1,7
663,2,4,6,25,31,5,9
664,4,6,10,23,29,9,11
665,5,6,14,17,26,3,8
666,4,5,13,18,27,3,9
667,13,15,16,32,34,6,11
668,1,4,9,18,33,2,5
669,14,17,22,30,33,7,12
670,6,12,21,26,29,2,11
671,15,22,23,25,34,5,11
672,2,13,14,18,29,3,9
673,2,16,17,30,32,2,9
674,21,22,24,29,34,5,6
675,1,6,14,17,29,1,11
676,6,18,22,23,33,9,11
677,8,17,25,33,34,3,11
678,10,14,19,25,32,2,7
679,10,16,19,20,34,4,5
680,21,23,29,32,35,11,12
681,5,8,12,24,34,7,10
682,2,3,9,17,24,6,12
