one,two,three,four,five,six,seven,eight
4,6,8,10,11,24,30,31
4,6,8,10,11,27,30,33
4,6,8,10,11,30,31,33
4,6,8,10,12,15,17,27
4,6,8,10,12,15,17,31
4,6,8,10,12,17,21,27
4,6,8,10,12,17,21,31
4,6,8,10,12,17,23,27
4,6,8,10,12,17,23,31
4,6,8,10,12,17,27,30
4,6,8,10,12,17,30,31
4,6,8,10,15,16,17,27
4,6,8,10,15,16,17,31
4,6,8,10,15,17,24,27
4,6,8,10,15,17,24,31
4,6,8,10,15,17,27,33
4,6,8,10,15,17,31,33
4,6,8,10,16,17,21,27
4,6,8,10,16,17,21,31
4,6,8,10,16,17,23,27
4,6,8,10,16,17,23,31
4,6,8,10,16,17,27,30
4,6,8,10,16,17,30,31
4,6,8,10,17,21,24,27
4,6,8,10,17,21,24,31
4,6,8,10,17,21,27,33
4,6,8,10,17,21,31,33
4,6,8,10,17,23,24,27
4,6,8,10,17,23,24,31
4,6,8,10,17,23,27,33
4,6,8,10,17,23,31,33
4,6,8,10,17,24,27,30
4,6,8,10,17,24,30,31
4,6,8,10,17,27,30,33
4,6,8,10,17,30,31,33
4,6,9,10,11,12,27,28
4,6,9,10,11,12,27,29
4,6,9,10,11,12,28,31
4,6,9,10,11,12,29,31
4,6,9,10,11,16,27,28
4,6,9,10,11,16,27,29
4,6,9,10,11,16,28,31
4,6,9,10,11,16,29,31
4,6,9,10,11,24,27,28
4,6,9,10,11,24,27,29
4,6,9,10,11,24,28,31
4,6,9,10,11,24,29,31
4,6,9,10,11,27,28,33
4,6,9,10,11,27,29,33
4,6,9,10,11,28,31,33
4,6,9,10,11,29,31,33
4,6,9,10,12,17,27,28
4,6,9,10,12,17,27,29
4,6,9,10,12,17,28,31
4,6,9,10,12,17,29,31
4,6,9,10,16,17,27,28
4,6,9,10,16,17,27,29
4,6,9,10,16,17,28,31
4,6,9,10,16,17,29,31
4,6,9,10,17,24,27,28
4,6,9,10,17,24,27,29
4,6,9,10,17,24,28,31
4,6,9,10,17,24,29,31
4,6,9,10,17,27,28,33
4,6,9,10,17,27,29,33
4,6,9,10,17,28,31,33
4,6,9,10,17,29,31,33
4,6,10,11,12,15,27,28
4,6,10,11,12,15,27,29
4,6,10,11,12,15,28,31
4,6,10,11,12,15,29,31
